ARROW_DAMAGE,Po,Power
ARROW_FIRE,Fl,Flame
ARROW_INFINITE,I,Infinite
ARROW_KNOCKBACK,Pu,Punch
BINDING_CURSE,CoB,Curse of Binding
DAMAGE_ALL,S,Sharpness
DAMAGE_ARTHROPODS,BoA,Bane of Arthropods
DAMAGE_UNDEAD,Sm,Smite
DEPTH_STRIDER,DS,Depth Strider
DIG_SPEED,E,Efficiency
DURABILITY,U,Unbreaking
FIRE_ASPECT,FA,Fire Aspect
FROST_WALKER,FW,Frost Walker
KNOCKBACK,K,Knockback
LOOT_BONUS_BLOCKS,F,Fortune
LOOT_BONUS_MOBS,L,Looting
LUCK,LS,Luck of the Sea
LURE,Lu,Lure
MENDING,M,Mending
OXYGEN,R,Respiration
PROTECTION_ENVIRONMENTAL,P,Protection
PROTECTION_EXPLOSIONS,BP,Blast Protection
PROTECTION_FALL,FF,Feather Falling
PROTECTION_FIRE,FP,Fire Protection
PROTECTION_PROJECTILE,PP,Projectile Protection
SILK_TOUCH,ST,Silk Touch
SWEEPING_EDGE,SE,Sweeping Edge
THORNS,T,Thorns
VANISHING_CURSE,CoV,Curse of Vanishing
WATER_WORKER,AA,Aqua Affinity